Substituent,sigma_p_minus,G_TS2 (kcal/mol)
4-NO2Ph,3.949283598371961,16.58382
4-OMePh,0.5013649106167108,19.94539
CCH,3.133760675005117,16.37988
CF3,3.596028321946066,14.46284
CHCH2,1.6453048487447552,15.9218
CHCHCO2Me,4.803443817633221,11.64595
CHCHNMe2,-1.1692381676167527,16.98103
CN,5.9211655907311975,15.14682
CO2Me,4.524243358206734,17.63804
F,0.07635465607680562,29.5557
Me,-1.0524063444348133,24.13527
N3,1.1053026422762953,21.43008
NMe2,-2.8426010526662937,24.60402
NO2,8.467547375122527,14.71071
H,0,28.88803
