Filename,Substituent,Charge,Multiplicity,NumImFreq,Energy (Eh),qhG (Eh)
4-NO2Ph_PhenO.log,4-NO2Ph,-1,1,0,-742.04410500,-741.90127900
4-NO2Ph_PhenOH.log,4-NO2Ph,0,1,0,-742.52199300,-742.36583700
4-OMePh_PhenO.log,4-OMePh,-1,1,0,-652.09103200,-651.91840800
4-OMePh_PhenOH.log,4-OMePh,0,1,0,-652.57629900,-652.39046200
CCH_PhenO.log,CCH,-1,1,0,-382.85531200,-382.78272400
CCH_PhenOH.log,CCH,0,1,0,-383.33505100,-383.24905500
CF3_PhenO.log,CF3,-1,1,0,-643.65528500,-643.58888600
CF3_PhenOH.log,CF3,0,1,0,-644.13410700,-644.05421200
CHCH2_PhenO.log,CHCH2,-1,1,0,-384.10295200,-384.00684300
CHCH2_PhenOH.log,CHCH2,0,1,0,-384.58588900,-384.47641000
CHCHCO2Me_PhenO.log,CHCHCO2Me,-1,1,0,-611.85222600,-611.71661400
CHCHCO2Me_PhenOH.log,CHCHCO2Me,0,1,0,-612.32826900,-612.17931500
CHCHNMe2_PhenO.log,CHCHNMe2,-1,1,0,-517.97110300,-517.80509100
CHCHNMe2_PhenOH.log,CHCHNMe2,0,1,0,-518.45982800,-518.28077700
CN_PhenO.log,CN,-1,1,0,-398.95774300,-398.89497400
CN_PhenOH.log,CN,0,1,0,-399.43123800,-399.35524500
CO2Me_PhenO.log,CO2Me,-1,1,0,-534.51141900,-534.40726200
CO2Me_PhenOH.log,CO2Me,0,1,0,-534.98803000,-534.87057000
F_PhenO.log,F,-1,1,0,-405.95412000,-405.89776700
F_PhenOH.log,F,0,1,0,-406.44035800,-406.37074500
Me_PhenO.log,Me,-1,1,1,-346.04361300,-345.95225800
Me_PhenOH.log,Me,0,1,1,-346.53236600,-346.42769000
N3_PhenO.log,N3,-1,1,0,-470.24945000,-470.18327600
N3_PhenOH.log,N3,0,1,0,-470.73336900,-470.65401700
NMe2_PhenO.log,NMe2,-1,1,0,-440.62051600,-440.48580700
NMe2_PhenOH.log,NMe2,0,1,0,-441.11250700,-440.96513100
NO2_PhenO.log,NO2,-1,1,0,-511.17837100,-511.11230300
NO2_PhenOH.log,NO2,0,1,0,-511.64634900,-511.56703800
PhenO.log,,-1,1,0,-306.76179900,-306.69620700
PhenOH.log,,0,1,0,-307.24841200,-307.16935100
